particles,batches,inactive_cycles,material_temperature_K,density_temperature,k_combined
200000, 150, 30, 300.0, 300.0, 1.05056+/-0.00018
200000, 150, 30, 400.0, 400.0, 1.03647+/-0.00017
200000, 150, 30, 500.0, 500.0, 1.02460+/-0.00019
200000, 150, 30, 600.0, 600.0, 1.01420+/-0.00017
200000, 150, 30, 700.0, 700.0, 1.00500+/-0.00018
200000, 150, 30, 800.0, 800.0, 0.99698+/-0.00018
200000, 150, 30, 900.0, 900.0, 0.98900+/-0.00017
200000, 150, 30, 1000.0, 1000.0, 0.98153+/-0.00016
200000, 150, 30, 1100.0, 1100.0, 0.97459+/-0.00015
200000, 150, 30, 1200.0, 1200.0, 0.96787+/-0.00016
200000, 150, 30, 1300.0, 1300.0, 0.96105+/-0.00014
200000, 150, 30, 1400.0, 1400.0, 0.95456+/-0.00016
200000, 150, 30, 1500.0, 1500.0, 0.94803+/-0.00017
200000, 150, 30, 1600.0, 1600.0, 0.94136+/-0.00016
200000, 150, 30, 1700.0, 1700.0, 0.93492+/-0.00017
200000, 150, 30, 1800.0, 1800.0, 0.92838+/-0.00017
300000, 150, 40, 973.15, 300.0, 1.00167+/-0.00017
300000, 150, 40, 973.15, 400.0, 0.99965+/-0.00017
300000, 150, 40, 973.15, 500.0, 0.99690+/-0.00014
300000, 150, 40, 973.15, 600.0, 0.99465+/-0.00014
300000, 150, 40, 973.15, 700.0, 0.99163+/-0.00015
300000, 150, 40, 973.15, 800.0, 0.98899+/-0.00014
300000, 150, 40, 973.15, 900.0, 0.98585+/-0.00014
300000, 150, 40, 973.15, 1000.0, 0.98291+/-0.00014
300000, 150, 40, 973.15, 1100.0, 0.97935+/-0.00015
300000, 150, 40, 973.15, 1200.0, 0.97597+/-0.00015
300000, 150, 40, 973.15, 1300.0, 0.97239+/-0.00014
300000, 150, 40, 973.15, 1400.0, 0.96836+/-0.00012
300000, 150, 40, 973.15, 1500.0, 0.96414+/-0.00014
300000, 150, 40, 973.15, 1600.0, 0.96020+/-0.00014
300000, 150, 40, 973.15, 1700.0, 0.95565+/-0.00014
300000, 150, 40, 973.15, 1800.0, 0.95065+/-0.00014
300000, 150, 40, 300.0, 973.15, 1.03096+/-0.00013
300000, 150, 40, 400.0, 973.15, 1.01929+/-0.00015
300000, 150, 40, 500.0, 973.15, 1.01080+/-0.00014
300000, 150, 40, 600.0, 973.15, 1.00297+/-0.00014
300000, 150, 40, 700.0, 973.15, 0.99685+/-0.00016
300000, 150, 40, 800.0, 973.15, 0.99164+/-0.00013
300000, 150, 40, 900.0, 973.15, 0.98685+/-0.00015
300000, 150, 40, 1000.0, 973.15, 0.98262+/-0.00014
300000, 150, 40, 1100.0, 973.15, 0.97893+/-0.00015
300000, 150, 40, 1200.0, 973.15, 0.97485+/-0.00012
300000, 150, 40, 1300.0, 973.15, 0.97215+/-0.00013
300000, 150, 40, 1400.0, 973.15, 0.96932+/-0.00013
300000, 150, 40, 1500.0, 973.15, 0.96694+/-0.00012
300000, 150, 40, 1600.0, 973.15, 0.96429+/-0.00013
300000, 150, 40, 1700.0, 973.15, 0.96220+/-0.00013
300000, 150, 40, 1800.0, 973.15, 0.95995+/-0.00013
300000, 150, 40, 973.15, 973.15, 0.98343+/-0.00014
multipole=true. create_delayed_neutrons=False. Density from table 1. Inventory from table 7. Cylindrical 20x20x20 entropy mesh: off. 
