particles,batches,inactive_cycles,material_temperature_K,density_temperature,k_combined
100000, 100, 20,  300.0, 300.0, 1.04981+/-0.00035
100000, 100, 20,  400.0, 400.0, 1.03647+/-0.00031
100000, 100, 20,  500.0, 500.0, 1.02452+/-0.00027
100000, 100, 20,  600.0, 600.0, 1.01462+/-0.00034
100000, 100, 20,  700.0, 700.0, 1.00591+/-0.00028
100000, 100, 20,  800.0, 800.0, 0.99704+/-0.00028
100000, 100, 20,  900.0, 900.0, 0.98870+/-0.00028
100000, 100, 20,  1000.0, 1000.0, 0.98164+/-0.00028
100000, 100, 20,  1100.0, 1100.0, 0.97475+/-0.00025
100000, 100, 20,  1200.0, 1200.0, 0.96792+/-0.00024
100000, 100, 20,  1300.0, 1300.0, 0.96080+/-0.00023
100000, 100, 20,  1400.0, 1400.0, 0.95454+/-0.00031
100000, 100, 20,  1500.0, 1500.0, 0.94838+/-0.00026
100000, 100, 20,  1600.0, 1600.0, 0.94149+/-0.00025
100000, 100, 20,  1700.0, 1700.0, 0.93557+/-0.00024
100000, 100, 20,  1800.0, 1800.0, 0.92872+/-0.00034
100000, 100, 20,  973.15, 300.0, 1.00164+/-0.00029
100000, 100, 20,  973.15, 400.0, 0.99966+/-0.00025
100000, 100, 20,  973.15, 500.0, 0.99738+/-0.00030
100000, 100, 20,  973.15, 600.0, 0.99432+/-0.00029
100000, 100, 20,  973.15, 700.0, 0.99186+/-0.00027
100000, 100, 20,  973.15, 800.0, 0.98884+/-0.00029
100000, 100, 20,  973.15, 900.0, 0.98609+/-0.00027
100000, 100, 20,  973.15, 1000.0, 0.98275+/-0.00029
100000, 100, 20,  973.15, 1100.0, 0.97879+/-0.00027
100000, 100, 20,  973.15, 1200.0, 0.97615+/-0.00032
100000, 100, 20,  973.15, 1300.0, 0.97248+/-0.00030
100000, 100, 20,  973.15, 1400.0, 0.96843+/-0.00030
100000, 100, 20,  973.15, 1500.0, 0.96426+/-0.00030
100000, 100, 20,  973.15, 1600.0, 0.95992+/-0.00028
100000, 100, 20,  973.15, 1700.0, 0.95562+/-0.00023
100000, 100, 20,  973.15, 1800.0, 0.95104+/-0.00026
100000, 100, 20,  300.0, 973.15, 1.03070+/-0.00027
100000, 100, 20,  400.0, 973.15, 1.01980+/-0.00031
100000, 100, 20,  500.0, 973.15, 1.01058+/-0.00027
100000, 100, 20,  600.0, 973.15, 1.00304+/-0.00028
100000, 100, 20,  700.0, 973.15, 0.99740+/-0.00027
100000, 100, 20,  800.0, 973.15, 0.99174+/-0.00032
100000, 100, 20,  900.0, 973.15, 0.98641+/-0.00026
100000, 100, 20,  1000.0, 973.15, 0.98291+/-0.00029
100000, 100, 20,  1100.0, 973.15, 0.97882+/-0.00029
100000, 100, 20,  1200.0, 973.15, 0.97570+/-0.00028
100000, 100, 20,  1300.0, 973.15, 0.97268+/-0.00034
100000, 100, 20,  1400.0, 973.15, 0.96952+/-0.00028
100000, 100, 20,  1500.0, 973.15, 0.96677+/-0.00026
100000, 100, 20,  1600.0, 973.15, 0.96420+/-0.00027
100000, 100, 20,  1700.0, 973.15, 0.96198+/-0.00028
100000, 100, 20,  1800.0, 973.15, 0.96020+/-0.00029
100000, 100, 20,  973.15, 973.15, 0.98389+/-0.00028
multipole=true. create_delayed_neutrons=False. Density from table 1. Inventory from table 7 
